,Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant,Car Age,Trim Level,Power Indicator
1155,2014 Honda CR-V 2.0L 2WD AT,900000.0,155000.0,Petrol,Jntu Kukat Pally,2014,Honda,CR-V,2.0L 2WD AT,10,Base,Standard
1156,2018 Renault Kwid 1.0 RXT AMT Opt,403000.0,31492.0,Petrol,Bellavista,2018,Renault,Kwid,1.0 RXT AMT Opt,6,Base,Standard
1157,2023 Maruti Suzuki Wagon R 1.0 VXI,578000.0,23602.0,Petrol,Jubilee Hills,2023,Maruti,Suzuki,Wagon R 1.0 VXI,1,Base,Standard
1158,2013 Hyundai i10 Magna,294000.0,94093.0,Petrol,Bellavista,2013,Hyundai,i10,Magna,11,Base,Standard
1159,2022 Maruti Suzuki Wagon R 1.0 VXI,549000.0,25373.0,Petrol,Beerappagadda,2022,Maruti,Suzuki,Wagon R 1.0 VXI,2,Base,Standard
1160,2018 Honda Jazz VX CVT,620000.0,101937.0,Petrol,Bellavista,2018,Honda,Jazz,VX CVT,6,Base,Standard
1161,2019 Volkswagen Vento Highline Diesel [2015-2016],768000.0,91660.0,Diesel,Bellavista,2019,Volkswagen,Vento,Highline Diesel,5,Base,Standard
1162,2018 Renault Kwid 1.0 RXT AMT Opt,381000.0,58731.0,Petrol,Bellavista,2018,Renault,Kwid,1.0 RXT AMT Opt,6,Base,Standard
1163,2023 Hyundai i20 N Line N8 1.0 Turbo DCT Dual Tone,1196753.0,6968.0,Petrol,Beerappagadda,2023,Hyundai,i20,N Line N8 1.0 Turbo DCT Dual Tone,1,Base,Standard
1164,2020 Hyundai Grand i10 Nios Asta AMT 1.2 Kappa VTVT,719000.0,32077.0,Petrol,Bellavista,2020,Hyundai,Grand,i10 Nios Asta AMT 1.2 Kappa VTVT,4,Base,Standard
1165,2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],478000.0,24276.0,Petrol,Beerappagadda,2016,Hyundai,Grand,i10 Sportz 1.2 Kappa VTVT,8,Sport,Standard
1166,2022 Toyota Glanza V AMT [2022-2023],912000.0,8587.0,Petrol,Beerappagadda,2022,Toyota,Glanza,V AMT,2,Base,Standard
1167,2022 Skoda Slavia Ambition 1.0L TSI MT,1170493.0,25232.0,Petrol,Jntu Kukat Pally,2022,Skoda,Slavia,Ambition 1.0L TSI MT,2,Base,Standard
1168,2015 Maruti Suzuki Ciaz ZDi+ [2014-2015],595131.0,106934.0,Diesel,Jubilee Hills,2015,Maruti,Suzuki,Ciaz ZDi+,9,Base,Standard
1169,2016 Maruti Suzuki Baleno Zeta 1.2 AT,637000.0,15855.0,Petrol,Bellavista,2016,Maruti,Suzuki,Baleno Zeta 1.2 AT,8,Base,Standard
1170,2017 Renault Kwid 1.0 RXT AMT Opt [2016-2019],391000.0,32634.0,Petrol,Jubilee Hills,2017,Renault,Kwid,1.0 RXT AMT Opt,7,Base,Standard
1171,2019 Maruti Suzuki Swift ZXi Plus [2018-2019],668000.0,32968.0,Petrol,Jubilee Hills,2019,Maruti,Suzuki,Swift ZXi Plus,5,Base,Standard
1172,2016 Maruti Suzuki Baleno Delta 1.2,533000.0,41651.0,Petrol,Beerappagadda,2016,Maruti,Suzuki,Baleno Delta 1.2,8,Base,Standard
1173,2017 Maruti Suzuki Dzire ZXi Plus AMT,629000.0,95049.0,Petrol,Beerappagadda,2017,Maruti,Suzuki,Dzire ZXi Plus AMT,7,Base,Standard
1174,2022 Hyundai Grand i10 Nios Asta AMT 1.2 Kappa VTVT,795000.0,21184.0,Petrol,Beerappagadda,2022,Hyundai,Grand,i10 Nios Asta AMT 1.2 Kappa VTVT,2,Base,Standard
1175,2018 Datsun redi-GO S 1.0 AMT [2018-2019],266000.0,111499.0,Petrol,Jubilee Hills,2018,Datsun,redi-GO,S 1.0 AMT,6,Base,Standard
1176,2022 Tata Punch Creative Dual Tone [2022-2023],795000.0,23485.0,Petrol,Beerappagadda,2022,Tata,Punch,Creative Dual Tone,2,Base,Standard
1177,2021 Maruti Suzuki Baleno Zeta 1.2,744000.0,11664.0,Petrol,Bellavista,2021,Maruti,Suzuki,Baleno Zeta 1.2,3,Base,Standard
1178,2018 Hyundai i20 Active 1.2 SX,668000.0,59454.0,Petrol,Beerappagadda,2018,Hyundai,i20,Active 1.2 SX,6,Base,Standard
1179,2019 Renault Triber RXZ [2019-2020],521000.0,108411.0,Petrol,Bellavista,2019,Renault,Triber,RXZ,5,Base,Standard
1180,2014 Maruti Suzuki Wagon R 1.0 VXI,329000.0,47820.0,Petrol,Bellavista,2014,Maruti,Suzuki,Wagon R 1.0 VXI,10,Base,Standard
1181,2013 Toyota Innova 2.5 GX 8 STR BS-III,859000.0,91759.0,Diesel,Bellavista,2013,Toyota,Innova,2.5 GX 8 STR BS-III,11,Base,Standard
1182,2019 Maruti Suzuki Baleno Alpha 1.3,659000.0,108410.0,Diesel,Jubilee Hills,2019,Maruti,Suzuki,Baleno Alpha 1.3,5,Base,Standard
1183,2015 Hyundai Elite i20 Asta 1.2,512000.0,96949.0,Petrol,Beerappagadda,2015,Hyundai,Elite,i20 Asta 1.2,9,Base,Standard
1184,2022 Hyundai i20 N Line N8 1.0 Turbo iMT,986000.0,28266.0,Petrol,Bellavista,2022,Hyundai,i20,N Line N8 1.0 Turbo iMT,2,Base,Standard
1185,2012 Maruti Suzuki Alto LXi BS-III,175000.0,75052.0,Petrol,Jubilee Hills,2012,Maruti,Suzuki,Alto LXi BS-III,12,Base,Standard
1186,2016 Mahindra TUV300 T8,657000.0,101220.0,Diesel,Beerappagadda,2016,Mahindra,TUV300,T8,8,Base,Standard
1187,2012 Ford Figo Duratorq Diesel EXI 1.4,237000.0,107576.0,Diesel,Bellavista,2012,Ford,Figo,Duratorq Diesel EXI 1.4,12,Base,Standard
1188,2012 Ford Figo Duratorq Diesel EXI 1.4,242283.0,102564.0,Diesel,Jubilee Hills,2012,Ford,Figo,Duratorq Diesel EXI 1.4,12,Base,Standard
1189,2022 Skoda Kushaq Ambition 1.0L TSI AT,1274000.0,32480.0,Petrol,Beerappagadda,2022,Skoda,Kushaq,Ambition 1.0L TSI AT,2,Base,Standard
1190,2023 Toyota Urban Cruiser Hyryder V Hybrid [2022-2023],1958293.0,20628.0,Hybrid,Jntu Kukat Pally,2023,Toyota,Urban,Cruiser Hyryder V Hybrid,1,Base,Standard
